PROJECT,DESCIPLINE,MASTER_REF,SOURCE_TYPE,UNIT,AREA,ISODRAWINGS,PIPINGCLASS,TOT_QTY,QTY_UOM,COMMODITYCODE,COMPLETE_FLAG,ISO_REV,DRAWING_TYPE,REVISION_DATE,GCP_NOM_DIAM,SIZE1_UOM,RCP_NOM_DIAM,SIZE2_UOM,SPEC_OVERRIDE,WORKSITE,DESCRIPTION,RECORD_TYPE,MODEL_CODE,ISODRAWINGSATTR1
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,7,EA,BROBLL0A1000                                      ,,,,4/20/2015,100,MM,50,MM,0,S,BRANCH OUTLET BW SCH.STD X SCH.STD A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,3,EA,BROBLL0A1000                                      ,,,,4/20/2015,150,MM,50,MM,,,BRANCH OUTLET BW SCH.STD X SCH.STD A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,2,EA,BROBLL0A1000                                      ,,,,4/20/2015,150,MM,80,MM,,,BRANCH OUTLET BW SCH.STD X SCH.STD A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,2,EA,BROBLL0A1000                                      ,,,,4/20/2015,200,MM,100,MM,,,BRANCH OUTLET BW SCH.STD X SCH.STD A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,2,EA,BROBLL0A1000                                      ,,,,4/20/2015,300,MM,50,MM,,,BRANCH OUTLET BW SCH.STD X SCH.STD A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,1,EA,BROBLL0A1000                                      ,,,,4/20/2015,300,MM,80,MM,,,BRANCH OUTLET BW SCH.STD X SCH.STD A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,2,EA,BROBLL0A1000                                      ,,,,4/20/2015,300,MM,150,MM,,,BRANCH OUTLET BW SCH.STD X SCH.STD A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,1,EA,BROBLL0A1000                                      ,,,,4/20/2015,350,MM,80,MM,,,BRANCH OUTLET BW SCH.STD X SCH.STD A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,3,EA,BROBLL0A1000                                      ,,,,4/20/2015,400,MM,50,MM,,,BRANCH OUTLET BW SCH.STD X SCH.STD A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,1,EA,BROBLL0A1000                                      ,,,,4/20/2015,400,MM,80,MM,,,BRANCH OUTLET BW SCH.STD X SCH.STD A105,,,
