SOURCETYPE,DISIPLINE,MASTER REF,UNIT,AREA,ISO,ITR,IDENTCODE,GROUP,PART,TAGNUMBER,SIZE1,SIZE2,SIZE3,SIZE4,SHORT DESC,DESCRIPTION,QTY,UNIT,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,BROBLL0A1000-100-50,100,50, ,210,BROBLL0A1000                                      ,BRANCH OUTLET BW SCH.STD X SCH.STD A105,7,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,BROBLL0A1000-150-50,150,50, ,210,BROBLL0A1000                                      ,BRANCH OUTLET BW SCH.STD X SCH.STD A105,3,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,BROBLL0A1000-150-80,150,80, ,210,BROBLL0A1000                                      ,BRANCH OUTLET BW SCH.STD X SCH.STD A105,2,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,BROBLL0A1000-200-100,200,100, ,210,BROBLL0A1000                                      ,BRANCH OUTLET BW SCH.STD X SCH.STD A105,2,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,BROBLL0A1000-300-50,300,50, ,210,BROBLL0A1000                                      ,BRANCH OUTLET BW SCH.STD X SCH.STD A105,2,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,BROBLL0A1000-300-80,300,80, ,210,BROBLL0A1000                                      ,BRANCH OUTLET BW SCH.STD X SCH.STD A105,1,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,BROBLL0A1000-300-150,300,150, ,210,BROBLL0A1000                                      ,BRANCH OUTLET BW SCH.STD X SCH.STD A105,2,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,BROBLL0A1000-350-80,350,80, ,210,BROBLL0A1000                                      ,BRANCH OUTLET BW SCH.STD X SCH.STD A105,1,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,BROBLL0A1000-400-50,400,50, ,210,BROBLL0A1000                                      ,BRANCH OUTLET BW SCH.STD X SCH.STD A105,3,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,BROBLL0A1000-400-80,400,80, ,210,BROBLL0A1000                                      ,BRANCH OUTLET BW SCH.STD X SCH.STD A105,1,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,BROBLL0A1000-400-150,400,150, ,210,BROBLL0A1000                                      ,BRANCH OUTLET BW SCH.STD X SCH.STD A105,1,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,BROBLL0A1000-450-50,450,50, ,210,BROBLL0A1000                                      ,BRANCH OUTLET BW SCH.STD X SCH.STD A105,1,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,BROBLL0A1000-450-80,450,80, ,210,BROBLL0A1000                                      ,BRANCH OUTLET BW SCH.STD X SCH.STD A105,1,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,BROBLL0A1000-450-150,450,150, ,210,BROBLL0A1000                                      ,BRANCH OUTLET BW SCH.STD X SCH.STD A105,1,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,BROBLL0A1000-450-250,450,250, ,210,BROBLL0A1000                                      ,BRANCH OUTLET BW SCH.STD X SCH.STD A105,1,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,BROBLL0A1000-500-50,500,50, ,210,BROBLL0A1000                                      ,BRANCH OUTLET BW SCH.STD X SCH.STD A105,4,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,BROS0H0A1000-50-20,50,20, ,210,BROS0H0A1000                                      ,BRANCH OUTLET SW CL. 3000 A105,1148,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,BROS0H0A1000-50-25,50,25, ,210,BROS0H0A1000                                      ,BRANCH OUTLET SW CL. 3000 A105,117,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,BROS0H0A1000-80-40,80,40, ,210,BROS0H0A1000                                      ,BRANCH OUTLET SW CL. 3000 A105,4,EA,
