PROJECT,DESCIPLINE,MASTER_REF,SOURCE_TYPE,UNIT,AREA,ISODRAWINGS,PIPINGCLASS,TOT_QTY,QTY_UOM,COMMODITYCODE,COMPLETE_FLAG,ISO_REV,DRAWING_TYPE,REVISION_DATE,GCP_NOM_DIAM,SIZE1_UOM,RCP_NOM_DIAM,SIZE2_UOM,SPEC_OVERRIDE,WORKSITE,DESCRIPTION,RECORD_TYPE,MODEL_CODE,ISODRAWINGSATTR1
NL006945,P,SITE,ISO,09MA,PP5120P21,209MA0005ASC09,AQ14_J,6,EA,E90BQ00D20B0,0,C01,D,4/17/2015,200,MM,,,1,S,ELBOW 90 DEG. LR BW SMLS SCH.40S A403-WP316/316L,COMP,E90LR,209MA0005ASC09
NL006945,P,SITE,ISO,09MA,PP5120P20,209MA0006ASC18,AQ14_J,36,M,PIPEQ00D10B0,0,C01,D,4/17/2015,200,MM,,,1,S,PIPE SMLS SCH.40S A312-TP316/316L,PIPE,PIPE,209MA0006ASC18
NL006945,P,SITE,ISO,09MA,PP5120P19,209MA0006ASC21,AQ14_J,2,EA,E90BQ00D20B0,0,C01,D,4/17/2015,200,MM,,,1,S,ELBOW 90 DEG. LR BW SMLS SCH.40S A403-WP316/316L,COMP,E90LR,209MA0006ASC21
NL006945,P,SITE,ISO,09MA,PP5120P20,209MA0005ASC16,AQ14_J,34,M,PIPEQ00D10B0,0,C01,D,4/17/2015,200,MM,,,1,S,PIPE SMLS SCH.40S A312-TP316/316L,PIPE,PIPE,209MA0005ASC16
NL006945,P,SITE,ISO,09MA,PP5120P20,209MA0005ASC18,AQ14_J,36,M,PIPEQ00D10B0,0,C01,D,4/17/2015,200,MM,,,1,S,PIPE SMLS SCH.40S A312-TP316/316L,PIPE,PIPE,209MA0005ASC18
NL006945,P,SITE,ISO,09MA,PP5120P19,209MA0005ASC19,AQ14_J,37.6,M,PIPEQ00D10B0,0,C01,D,4/17/2015,200,MM,,,1,S,PIPE SMLS SCH.40S A312-TP316/316L,PIPE,PIPE,209MA0005ASC19
NL006945,P,SITE,ISO,09MA,PP5120P27,209MA0006ASC06,AQ14_J,4,EA,E90BQ00D20B0,0,C01,D,4/17/2015,200,MM,,,1,S,ELBOW 90 DEG. LR BW SMLS SCH.40S A403-WP316/316L,COMP,E90LR,209MA0006ASC06
NL006945,P,SITE,ISO,09MA,PP5120P21,209MA0006ASC12,AQ14_J,4,EA,E90BQ00D20B0,0,C01,D,4/17/2015,200,MM,,,1,S,ELBOW 90 DEG. LR BW SMLS SCH.40S A403-WP316/316L,COMP,E90LR,209MA0006ASC12
NL006945,P,SITE,ISO,09MA,PP5120P27,209MA0005ASC04,AQ14_J,46.6,M,PIPEQ00D10B0,0,C01,D,4/17/2015,200,MM,,,1,S,PIPE SMLS SCH.40S A312-TP316/316L,PIPE,PIPE,209MA0005ASC04
NL006945,P,SITE,ISO,09MA,PP5120P22,209MA0314SCL12,AA06_J,1,EA,FLWNLAAA1000,0,C01,D,4/17/2015,80,MM,,,1,S,FLANGE WELDING NECK CL. 150 RF SCH.STD A105,COMP,FWN,209MA0314SCL12
NL006945,P,SITE,ISO,09MA,PP5120P23,209MA0322SCL28,AA06_J,1,EA,GKFR0A0Z3000,0,C01,D,4/17/2015,,MM,,,1,S,GASKET FLAT RING CL. 150 CNAF,GASK,,209MA0322SCL28
NL006945,P,SITE,ISO,09MA,PP5120P23,209MA0314SCL15,AA06_J,22.1,M,PIPEL00AA0C0,0,C01,D,4/17/2015,80,MM,,,1,S,PIPE WLD SCH.STD A53-GR.B,PIPE,PIPE,209MA0314SCL15
NL006945,P,SITE,ISO,09MA,PP5120P24,209MA0322SCL15,AA06_J,1,EA,FLSW0AAA1000,0,C01,D,4/17/2015,20,MM,,,1,S,FLANGE SW CL. 150 RF A105,COMP,FSW,209MA0322SCL15
