SOURCETYPE,DISIPLINE,MASTER REF,UNIT,AREA,ISO,ITR,IDENTCODE,GROUP,PART,TAGNUMBER,SIZE1,SIZE2,SIZE3,SIZE4,SHORT DESC,DESCRIPTION,QTY,UNIT,
ISO,P,SITE,09MA,PP5120P21,209MA0005ASC09,TAG WO MS, ,PJ,EL,E90BQ00D20B0-200,200,, , ,E90BQ00D20B0,ELBOW 90 DEG. LR BW SMLS SCH.40S A403-WP316/316L,6,EA,
ISO,P,SITE,09MA,PP5120P20,209MA0006ASC18,TAG WO MS, ,PP,PS,PIPEQ00D10B0-200,200,, , ,PIPEQ00D10B0,PIPE SMLS SCH.40S A312-TP316/316L,36,M,
ISO,P,SITE,09MA,PP5120P19,209MA0006ASC21,TAG WO MS, ,PJ,EL,E90BQ00D20B0-200,200,, , ,E90BQ00D20B0,ELBOW 90 DEG. LR BW SMLS SCH.40S A403-WP316/316L,2,EA,
ISO,P,SITE,09MA,PP5120P20,209MA0005ASC16,TAG WO MS, ,PP,PS,PIPEQ00D10B0-200,200,, , ,PIPEQ00D10B0,PIPE SMLS SCH.40S A312-TP316/316L,34,M,
ISO,P,SITE,09MA,PP5120P20,209MA0005ASC18,TAG WO MS, ,PP,PS,PIPEQ00D10B0-200,200,, , ,PIPEQ00D10B0,PIPE SMLS SCH.40S A312-TP316/316L,36,M,
ISO,P,SITE,09MA,PP5120P19,209MA0005ASC19,TAG WO MS, ,PP,PS,PIPEQ00D10B0-200,200,, , ,PIPEQ00D10B0,PIPE SMLS SCH.40S A312-TP316/316L,37.6,M,
ISO,P,SITE,09MA,PP5120P27,209MA0006ASC06,TAG WO MS, ,PJ,EL,E90BQ00D20B0-200,200,, , ,E90BQ00D20B0,ELBOW 90 DEG. LR BW SMLS SCH.40S A403-WP316/316L,4,EA,
ISO,P,SITE,09MA,PP5120P21,209MA0006ASC12,TAG WO MS, ,PJ,EL,E90BQ00D20B0-200,200,, , ,E90BQ00D20B0,ELBOW 90 DEG. LR BW SMLS SCH.40S A403-WP316/316L,4,EA,
ISO,P,SITE,09MA,PP5120P27,209MA0005ASC04,TAG WO MS, ,PP,PS,PIPEQ00D10B0-200,200,, , ,PIPEQ00D10B0,PIPE SMLS SCH.40S A312-TP316/316L,46.6,M,
ISO,P,SITE,09MA,PP5120P22,209MA0314SCL12,TAG WO MS, ,PF,FP,FLWNLAAA1000-80,80,, , ,FLWNLAAA1000,FLANGE WELDING NECK CL. 150 RF SCH.STD A105,1,EA,
