SOURCETYPE,DISIPLINE,MASTER_REF,UNIT,AREA,ISO,ITR,IDENT_CODE,GROUP,PART,TAG_NUMBER,SIZE1,SIZE2,SIZE3,SIZE4,SHORT_DESC,DESCRIPTION,QTY,UNIT,
ISO,P,SITE,2000307,PP5120P15,MD-512-09WM-ISO-IAS-AP10-2212-01,TAG WO MS,,PJ,EL,E45BP00DB0C0-50,50,,,5,E45BP00DB0C0,ELBOW 45 DEG. LR BW WLD SCH.10S A403-WP304L,1.0,EA,
ISO,P,SITE,2000307,PP5120P106,MD-512-09MA-ISO-IAS-AP10-0926-02,TAG WO MS,,PJ,EL,E45BP00DB0C0-50,50,,,06,E45BP00DB0C0,ELBOW 45 DEG. LR BW WLD SCH.10S A403-WP304L,1.0,EA,
ISO,P,SITE,2580301,PP5120P37,MD-512-09MA-ISO-WDW-AP11-0801-15,TAG WO MS,,PJ,EL,E45BP00DB0C0-200,200,,,7,E45BP00DB0C0,ELBOW 45 DEG. LR BW WLD SCH.10S A403-WP304L,1.0,EA,
ISO,P,SITE,2580301,PP5120P37,MD-512-09MA-ISO-WDW-AP11-0306-09,TAG WO MS,,PJ,EL,E45BP00DB0C0-300,300,,,7,E45BP00DB0C0,ELBOW 45 DEG. LR BW WLD SCH.10S A403-WP304L,4.0,EA,
ISO,P,SITE,2000310,PP5120P23,MD-512-09MA-ISO-WDW-AP11-0832-04,TAG WO MS,,PJ,EL,E45BP00DB0C0-400,400,,,3,E45BP00DB0C0,ELBOW 45 DEG. LR BW WLD SCH.10S A403-WP304L,2.0,EA,
ISO,P,SITE,2000310,PP5120P23,MD-512-09MA-ISO-WDW-AP11-0832-06,TAG WO MS,,PJ,EL,E45BP00DB0C0-400,400,,,3,E45BP00DB0C0,ELBOW 45 DEG. LR BW WLD SCH.10S A403-WP304L,1.0,EA,
ISO,P,SITE,2580301,PP5120P37,MD-512-09MA-ISO-ASC-AQ14-0006-01,TAG WO MS,,PJ,EL,E45BQ00D20B0-200,200,,,7,E45BQ00D20B0,ELBOW 45 DEG. LR BW SMLS SCH.40S A403-WP316/316L,1.0,EA,
ISO,P,SITE,2000310,PP5120P19,MD-512-09MA-ISO-ASC-AQ14-0013-02,TAG WO MS,,PJ,EL,E45BQ00D20B0-200,200,,,9,E45BQ00D20B0,ELBOW 45 DEG. LR BW SMLS SCH.40S A403-WP316/316L,1.0,EA,
ISO,P,SITE,2000310,PP5120P23,MD-512-09MA-ISO-SLP-AA06-3505-01,TAG WO MS,,PJ,EL,E45S0H0A1000-25,25,,,3,E45S0H0A1000,ELBOW 45 DEG. SW CL. 3000 A105,1.0,EA,
ISO,P,SITE,2580301,PP5120P37,MD-512-09MA-ISO-WBB-AA06-1010-06,TAG WO MS,,PJ,EL,E45S0H0A1000-25,25,,,7,E45S0H0A1000,ELBOW 45 DEG. SW CL. 3000 A105,1.0,EA,
ISO,P,SITE,2580301,PP5120P37,MD-512-09MA-ISO-WDW-AP11-0801-16,TAG WO MS,,PJ,EL,E45S0H0DB000-25,25,,,7,E45S0H0DB000,ELBOW 45 DEG. SW CL. 3000 A182-F304L,2.0,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09YF-ISO-PAS-AZ02-0402-01,TAG WO MS,,PJ,EL,E45T0H0A7000-25,25,,,7,E45T0H0A7000,ELBOW 45 DEG. THRD CL. 3000 A105 GALV,1.0,EA,
ISO,P,SITE,2000307,PP5120P115,MD-512-7GMG-ISO-APP-AQ17-0203-04,TAG WO MS,,PJ,EL,E90BP00DD0C0-200,200,,,15,E90BP00DD0C0,ELBOW 90 DEG. LR BW WLD SCH.10S A403-WP316L,2.0,EA,
ISO,P,SITE,2000307,PP5120P14,MD-512-7GMG-ISO-APP-AQ17-0203-01,TAG WO MS,,PJ,EL,E90BP00DD0C0-200,200,,,4,E90BP00DD0C0,ELBOW 90 DEG. LR BW WLD SCH.10S A403-WP316L,2.0,EA,
