SOURCETYPE,DISIPLINE,MASTER_REF,UNIT,AREA,ISO,ITR,IDENT_CODE,GROUP,PART,TAG_NUMBER,SIZE1,SIZE2,SIZE3,SIZE4,SHORT_DESC,DESCRIPTION,QTY,UNIT,
ISO,P,SITE,2000310,PP5120P21,MD-512-09MA-ISO-SLP-AA06-3809-01,TAG WO MS,,PV,VG,209MA-SP-B-861-25,25,,,,209MA-SP-B-861,STEAM TRAP,1,EA,
ISO,P,SITE,2000310,PP5120P27,MD-512-09MA-ISO-SLP-AA06-3803-01,TAG WO MS,,PV,VG,209MA-SP-B-861-25,25,,,,209MA-SP-B-861,STEAM TRAP,1,EA,
ISO,P,SITE,2000310,PP5120P27,MD-512-09MA-ISO-SLP-AA06-3805-01,TAG WO MS,,PV,VG,209MA-SP-B-861-25,25,,,,209MA-SP-B-861,STEAM TRAP,1,EA,
ISO,P,SITE,2580301,PP5120P37,MD-512-09MA-ISO-SLP-AA06-3801-01,TAG WO MS,,PV,VG,209MA-SP-B-861-25,25,,,,209MA-SP-B-861,STEAM TRAP,1,EA,
ISO,P,SITE,2000310,PP5120P26,MD-512-09MA-ISO-SLP-AA06-3807-01,TAG WO MS,,PV,VG,209MA-SP-B-861-25,25,,,,209MA-SP-B-861,STEAM TRAP,1,EA,
ISO,P,SITE,2000307,PP5120P14,MD-512-72U0-ISO-APP-AQ17-0018-02,TAG WO MS,,PV,VG,ABARFAB-100,100,,,,ABARFAB,VALVE BALL FB FLGD CL. 150 RF SS BODY,1,EA,
ISO,P,SITE,2000307,PP5120P14,MD-512-72U0-ISO-APP-AQ17-0018-01,TAG WO MS,,PV,VG,ABARFAB-100,100,,,,ABARFAB,VALVE BALL FB FLGD CL. 150 RF SS BODY,1,EA,
ISO,P,SITE,2000307,PP5120P14,MD-512-72U0-ISO-APP-AQ17-0111-01,TAG WO MS,,PV,VG,ABARFAB-100,100,,,,ABARFAB,VALVE BALL FB FLGD CL. 150 RF SS BODY,1,EA,
ISO,P,SITE,2000307,PP5120P14,MD-512-72U0-ISO-APP-AQ17-0111-02,TAG WO MS,,PV,VG,ABARFAB-100,100,,,,ABARFAB,VALVE BALL FB FLGD CL. 150 RF SS BODY,1,EA,
ISO,P,SITE,2000307,PP5120P14,MD-512-72U0-ISO-APP-AQ17-0017-01,TAG WO MS,,PV,VG,ABARFAB-100,100,,,,ABARFAB,VALVE BALL FB FLGD CL. 150 RF SS BODY,1,EA,
ISO,P,SITE,2000307,PP5120P14,MD-512-72U0-ISO-APP-AQ17-0017-02,TAG WO MS,,PV,VG,ABARFAB-100,100,,,,ABARFAB,VALVE BALL FB FLGD CL. 150 RF SS BODY,1,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09WO-ISO-WDW-AP11-0204-01,TAG WO MS,,PV,VG,ABFRVAC-400,400,,,,ABFRVAC,VALVE BUTTERFLY WAFER G.O. PN 10 RF CI BODY,1,EA,
