SOURCETYPE,DISIPLINE,MASTER_REF,UNIT,AREA,ISO,ITR,IDENT_CODE,GROUP,PART,TAG_NUMBER,SIZE1,SIZE2,SIZE3,SIZE4,SHORT_DESC,DESCRIPTION,QTY,UNIT,
ISO,P,SITE,2000310,PP5120P20,MD-512-09MA-ISO-SLP-AA06-0224-01,TAG WO MS,,PV,VG,209MA-SP-B-861-25,25,,,,209MA-SP-B-861,STEAM TRAP,1.0,EA,
ISO,P,SITE,2000310,PP5120P20,MD-512-09MA-ISO-SLP-AA06-0225-01,TAG WO MS,,PV,VG,209MA-SP-B-861-25,25,,,,209MA-SP-B-861,STEAM TRAP,1.0,EA,
ISO,P,SITE,2000310,PP5120P21,MD-512-09MA-ISO-SLP-AA06-0222-01,TAG WO MS,,PV,VG,209MA-SP-B-861-25,25,,,,209MA-SP-B-861,STEAM TRAP,1.0,EA,
ISO,P,SITE,2000310,PP5120P21,MD-512-09MA-ISO-SLP-AA06-0223-01,TAG WO MS,,PV,VG,209MA-SP-B-861-25,25,,,,209MA-SP-B-861,STEAM TRAP,1.0,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09YF-ISO-SCL-AA06-0101-02,TAG WO MS,,PV,VG,209YF-SP-B-061-25,25,,,,209YF-SP-B-061,SAMPLE VALVE,1.0,EA,
ISO,P,SITE,2000307,PP5120P12,MD-512-09YF-ISO-SCL-AA06-0005-02,TAG WO MS,,PM,SY,209YF-SP-E-001-100,100,,,,209YF-SP-E-001,T-TYPE STRAINER,1.0,EA,
ISO,P,SITE,2000307,PP5120P12,MD-512-09YF-ISO-SCL-AA06-0007-02,TAG WO MS,,PM,SY,209YF-SP-E-002-100,100,,,,209YF-SP-E-002,T-TYPE STRAINER,1.0,EA,
ISO,P,SITE,2000307,PP5120P09,MD-512-71K0-ISO-SLP-AA06-0035-01,TAG WO MS,,a,b,271K0-SP-B-006-25,25,,,,271K0-SP-B-006,,1.0,EA,
ISO,P,SITE,2000307,PP5120P09,MD-512-71K0-ISO-SLP-AA06-0039-01,TAG WO MS,,a,b,271K0-SP-B-007-25,25,,,,271K0-SP-B-007,,1.0,EA,
ISO,P,SITE,2000307,PP5120P09,MD-512-71K0-ISO-SLP-AA06-0034-01,TAG WO MS,,a,b,271K0-SP-B-010-25,25,,,,271K0-SP-B-010,,1.0,EA,
ISO,P,SITE,2000307,PP5120P09,MD-512-71K0-ISO-SLP-AA06-0038-01,TAG WO MS,,a,b,271K0-SP-B-011-25,25,,,,271K0-SP-B-011,,1.0,EA,
ISO,P,SITE,2000307,PP5120P09,MD-512-71K0-ISO-PAS-AZ02-0108-01,TAG WO MS,,a,b,271K0-SP-B-061-25,25,,,,271K0-SP-B-061,,1.0,EA,
ISO,P,SITE,2000307,PP5120P09,MD-512-71K0-ISO-PAS-AZ02-0109-01,TAG WO MS,,a,b,271K0-SP-B-061-25,25,,,,271K0-SP-B-061,,1.0,EA,
ISO,P,SITE,2000307,PP5120P09,MD-512-71K0-ISO-PAS-AZ02-0105-01,TAG WO MS,,a,b,271K0-SP-B-061-25,25,,,,271K0-SP-B-061,,1.0,EA,
ISO,P,SITE,2000307,PP5120P09,MD-512-71K0-ISO-PAS-AZ02-0103-01,TAG WO MS,,a,b,271K0-SP-B-061-25,25,,,,271K0-SP-B-061,,1.0,EA,
ISO,P,SITE,2000307,PP5120P09,MD-512-71K0-ISO-PAS-AZ02-0110-02,TAG WO MS,,a,b,271K0-SP-B-061-25,25,,,,271K0-SP-B-061,,1.0,EA,
ISO,P,SITE,2000307,PP5120P09,MD-512-71K0-ISO-PAS-AZ02-0106-02,TAG WO MS,,a,b,271K0-SP-B-061-25,25,,,,271K0-SP-B-061,,1.0,EA,
ISO,P,SITE,2000307,PP5120P09,MD-512-71K0-ISO-PAS-AZ02-0107-01,TAG WO MS,,a,b,271K0-SP-B-061-25,25,,,,271K0-SP-B-061,,1.0,EA,
ISO,P,SITE,2000307,PP5120P09,MD-512-71K0-ISO-PAS-AZ02-0104-01,TAG WO MS,,a,b,271K0-SP-B-061-25,25,,,,271K0-SP-B-061,,1.0,EA,
ISO,P,SITE,2000307,PP5120P09,MD-512-71K0-ISO-PAS-AZ02-0111-01,TAG WO MS,,a,b,271K0-SP-B-061-25,25,,,,271K0-SP-B-061,,1.0,EA,
