SOURCETYPE,DISIPLINE,MASTER_REF,UNIT,AREA,ISO,ITR,IDENT_CODE,GROUP,PART,TAG_NUMBER,SIZE1,SIZE2,SIZE3,SIZE4,SHORT_DESC,DESCRIPTION,QTY,UNIT,
ISO,P,SITE,2000310,PP5120P34,MD-512-09MA-ISO-NAG-AA07-0510-10,TAG WO MS,,PV,VG,ABAREA-200,200,,,,ABAREA,VALVE BALL FB FLGD G.O. CL. 150 RF CS BODY,2,EA,
ISO,P,SITE,2420301,PP5120P128,MD-512-09MA-ISO-DFL-AA06-0506-02,TAG WO MS,,PV,VG,ABARXB-25,25,,,,ABARXB,VALVE BALL FB FLGD CL. 150 RF CS BODY,1,EA,
ISO,P,SITE,2000310,PP5120P24,MD-512-09MA-ISO-DFL-AA06-0506-08,TAG WO MS,,PV,VG,ABARXB-25,25,,,,ABARXB,VALVE BALL FB FLGD CL. 150 RF CS BODY,1,EA,
ISO,P,SITE,2000310,PP5120P22,MD-512-09MA-ISO-DFL-AA06-0506-21,TAG WO MS,,PV,VG,ABARXB-25,25,,,,ABARXB,VALVE BALL FB FLGD CL. 150 RF CS BODY,1,EA,
ISO,P,SITE,2000310,PP5120P23,MD-512-09MA-ISO-DFL-AA06-0506-16,TAG WO MS,,PV,VG,ABARXB-25,25,,,,ABARXB,VALVE BALL FB FLGD CL. 150 RF CS BODY,1,EA,
ISO,P,SITE,2000310,PP5120P25,MD-512-09MA-ISO-DFL-AA06-0506-04,TAG WO MS,,PV,VG,ABARXB-25,25,,,,ABARXB,VALVE BALL FB FLGD CL. 150 RF CS BODY,1,EA,
ISO,P,SITE,2000310,PP5120P24,MD-512-09MA-ISO-PAS-AZ02-0729-09,TAG WO MS,,PJ,EL,BROBLL0A1000-150-80,150,80,,,BROBLL0A1000,BRANCH OUTLET BW SCH.STD X SCH.STD A105,1,EA,
ISO,P,SITE,2000310,PP5120P21,MD-512-09MA-ISO-PAS-AZ02-0912-14,TAG WO MS,,PJ,EL,BROBLL0A1000-100-50,100,50,,,BROBLL0A1000,BRANCH OUTLET BW SCH.STD X SCH.STD A105,1,EA,
ISO,P,SITE,2000310,PP5120P21,MD-512-09MA-ISO-SCL-AA06-0301-08,TAG WO MS,,PJ,EL,BROBLL0A1000-300-80,300,80,,,BROBLL0A1000,BRANCH OUTLET BW SCH.STD X SCH.STD A105,1,EA,
ISO,P,SITE,2000310,PP5120P21,MD-512-09MA-ISO-PAS-AZ02-0912-10,TAG WO MS,,PJ,EL,BROBLL0A1000-100-50,100,50,,,BROBLL0A1000,BRANCH OUTLET BW SCH.STD X SCH.STD A105,1,EA,
ISO,P,SITE,2000310,PP5120P23,MD-512-09MA-ISO-NAG-AA07-0509-03,TAG WO MS,,PJ,EL,BROBLL0A1000-400-150,400,150,,,BROBLL0A1000,BRANCH OUTLET BW SCH.STD X SCH.STD A105,1,EA,
ISO,P,SITE,2000310,PP5120P21,MD-512-09MA-ISO-PAS-AZ02-0912-12,TAG WO MS,,PJ,EL,BROBLL0A1000-100-50,100,50,,,BROBLL0A1000,BRANCH OUTLET BW SCH.STD X SCH.STD A105,1,EA,
ISO,P,SITE,2000310,PP5120P23,MD-512-09MA-ISO-IAS-AP10-0715-04,TAG WO MS,,PJ,EL,BROBPP0DB000-100-50,100,50,,,BROBPP0DB000,BRANCH OUTLET BW SCH.10S X SCH.10S A182-F304L,1,EA,
ISO,P,SITE,2420301,PP5120P128,MD-512-09MA-ISO-DFL-AA06-0506-02,TAG WO MS,,PJ,EL,BROS0H0A1000-150-25,150,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2000310,PP5120P25,MD-512-09MA-ISO-DFL-AA06-0506-04,TAG WO MS,,PJ,EL,BROS0H0A1000-150-20,150,20,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2000310,PP5120P24,MD-512-09MA-ISO-DFL-AA06-0506-08,TAG WO MS,,PJ,EL,BROS0H0A1000-150-20,150,20,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2000310,PP5120P22,MD-512-09MA-ISO-DFL-AA06-0506-21,TAG WO MS,,PJ,EL,BROS0H0A1000-150-20,150,20,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2000310,PP5120P25,MD-512-09MA-ISO-DFL-AA06-0506-04,TAG WO MS,,PJ,EL,BROS0H0A1000-150-25,150,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2000310,PP5120P23,MD-512-09MA-ISO-DFL-AA06-0506-16,TAG WO MS,,PJ,EL,BROS0H0A1000-150-25,150,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2000310,PP5120P27,MD-512-09MA-ISO-SCL-AA06-0301-13,TAG WO MS,,PJ,EL,BROS0H0A1000-300-20,300,20,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2000310,PP5120P26,MD-512-09MA-ISO-SCL-AA06-0301-09,TAG WO MS,,PJ,EL,BROS0H0A1000-300-40,300,40,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2000310,PP5120P27,MD-512-09MA-ISO-SCL-AA06-0301-11,TAG WO MS,,PJ,EL,BROS0H0A1000-300-20,300,20,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2000310,PP5120P27,MD-512-09MA-ISO-SCL-AA06-0301-13,TAG WO MS,,PJ,EL,BROS0H0A1000-300-40,300,40,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2000310,PP5120P26,MD-512-09MA-ISO-SCL-AA06-0301-09,TAG WO MS,,PJ,EL,BROS0H0A1000-300-20,300,20,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2000310,PP5120P24,MD-512-09MA-ISO-DFL-AA06-0506-08,TAG WO MS,,PJ,EL,BROS0H0A1000-150-25,150,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2000310,PP5120P23,MD-512-09MA-ISO-DFL-AA06-0506-16,TAG WO MS,,PJ,EL,BROS0H0A1000-150-20,150,20,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2000310,PP5120P27,MD-512-09MA-ISO-SCL-AA06-0301-11,TAG WO MS,,PJ,EL,BROS0H0A1000-300-40,300,40,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2420301,PP5120P128,MD-512-09MA-ISO-SLP-AA06-0212-08,TAG WO MS,,PJ,EL,BROS0H0A1000-50-25,50,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,3,EA,
ISO,P,SITE,2420301,PP5120P128,MD-512-09MA-ISO-SLP-AA06-0212-12,TAG WO MS,,PJ,EL,BROS0H0A1000-50-25,50,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,2,EA,
ISO,P,SITE,2420301,PP5120P128,MD-512-09MA-ISO-SLP-AA06-0212-13,TAG WO MS,,PJ,EL,BROS0H0A1000-50-20,50,20,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2000310,PP5120P34,MD-512-09MA-ISO-NAG-AA07-0510-10,TAG WO MS,,PJ,EL,BROS0H0A1000-200-25,200,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2420301,PP5120P128,MD-512-09MA-ISO-DFL-AA06-0506-02,TAG WO MS,,PJ,EL,BROS0H0A1000-150-20,150,20,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2000310,PP5120P22,MD-512-09MA-ISO-DFL-AA06-0506-21,TAG WO MS,,PJ,EL,BROS0H0A1000-150-25,150,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
