PROJECT,DESCIPLINE,MASTER_REF,SOURCE_TYPE,UNIT_NO,AREA,ISODRAWINGS,PIPINGCLASS,TOT_QTY,QTY_UOM,COMMODITYCODE,COMPLETE_FLAG,ISO_REV,DRAWING_TYPE,REVISION_DATE,GCP_NOM_DIAM,SIZE1_UOM,RCP_NOM_DIAM,SIZE2_UOM,SPEC_OVERRIDE,WORKSITE,DESCRIPTION
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-621,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-622,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-623,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-624,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-625,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-626,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-627,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-628,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-629,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-630,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
